Date : 2025-01-24 08:12:40
Directory : c:\Users\Kerlos\Desktop\quiz\app
Total : 108 files,  638 codes, 13 comments, 221 blanks, all 872 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\quiz\app\api\GlobalApi.js                                     | JavaScript     |       -340 |          0 |        -84 |       -424 |
| d:\quiz\app\arabic\[quizid]\page.jsx                             | JavaScript JSX |        -12 |          0 |         -8 |        -20 |
| d:\quiz\app\arabic\page.jsx                                      | JavaScript JSX |        -14 |          0 |        -12 |        -26 |
| d:\quiz\app\bio\[quizid]\page.jsx                                | JavaScript JSX |        -11 |          0 |         -8 |        -19 |
| d:\quiz\app\bio\page.jsx                                         | JavaScript JSX |        -14 |          0 |        -12 |        -26 |
| d:\quiz\app\chem\[quizid]\page.jsx                               | JavaScript JSX |        -10 |          0 |         -8 |        -18 |
| d:\quiz\app\chem\page.jsx                                        | JavaScript JSX |        -14 |          0 |        -16 |        -30 |
| d:\quiz\app\components\ActiveSqu.jsx                             | JavaScript JSX |        -85 |         -6 |        -13 |       -104 |
| d:\quiz\app\components\Arabic.jsx                                | JavaScript JSX |       -252 |        -10 |        -35 |       -297 |
| d:\quiz\app\components\Bio.jsx                                   | JavaScript JSX |       -182 |        -10 |        -33 |       -225 |
| d:\quiz\app\components\Chem.jsx                                  | JavaScript JSX |       -217 |        -10 |        -33 |       -260 |
| d:\quiz\app\components\English.jsx                               | JavaScript JSX |       -217 |        -10 |        -33 |       -260 |
| d:\quiz\app\components\Footer.jsx                                | JavaScript JSX |        -25 |          0 |        -13 |        -38 |
| d:\quiz\app\components\French.jsx                                | JavaScript JSX |       -156 |        -10 |        -32 |       -198 |
| d:\quiz\app\components\Geo.jsx                                   | JavaScript JSX |       -182 |        -10 |        -32 |       -224 |
| d:\quiz\app\components\GreatToday.jsx                            | JavaScript JSX |        -64 |         -2 |        -17 |        -83 |
| d:\quiz\app\components\Header.jsx                                | JavaScript JSX |        -78 |         -9 |        -11 |        -98 |
| d:\quiz\app\components\Hero.jsx                                  | JavaScript JSX |       -145 |         -9 |        -31 |       -185 |
| d:\quiz\app\components\Physics.jsx                               | JavaScript JSX |       -184 |        -10 |        -30 |       -224 |
| d:\quiz\app\components\ProgCircle.jsx                            | JavaScript JSX |        -33 |          0 |        -14 |        -47 |
| d:\quiz\app\components\QuizAr.jsx                                | JavaScript JSX |       -412 |        -10 |        -90 |       -512 |
| d:\quiz\app\components\QuizBio.jsx                               | JavaScript JSX |       -412 |        -10 |        -95 |       -517 |
| d:\quiz\app\components\QuizCh.jsx                                | JavaScript JSX |       -412 |        -10 |        -91 |       -513 |
