"filename", "language", "JavaScript JSX", "SCSS", "CSS", "XML", "JavaScript", "comment", "blank", "total"
"c:\Users\Kerlos\Desktop\quiz\app\cop\page.jsx", "JavaScript JSX", 106, 0, 0, 0, 0, 0, 32, 138
"c:\Users\Kerlos\Desktop\quiz\app\english\[quizid]\page.jsx", "JavaScript JSX", 12, 0, 0, 0, 0, 0, 8, 20
"c:\Users\Kerlos\Desktop\quiz\app\english\page.jsx", "JavaScript JSX", 17, 0, 0, 0, 0, 0, 11, 28
"c:\Users\Kerlos\Desktop\quiz\app\french\[quizid]\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Kerlos\Desktop\quiz\app\french\page.jsx", "JavaScript JSX", 14, 0, 0, 0, 0, 0, 11, 25
"c:\Users\Kerlos\Desktop\quiz\app\friends\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Kerlos\Desktop\quiz\app\geo\[quizid]\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 7, 17
"c:\Users\Kerlos\Desktop\quiz\app\geo\page.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 12, 27
"c:\Users\Kerlos\Desktop\quiz\app\globals.css", "CSS", 0, 0, 13, 0, 0, 0, 8, 21
"c:\Users\Kerlos\Desktop\quiz\app\layout.jsx", "JavaScript JSX", 52, 0, 0, 0, 0, 2, 19, 73
"c:\Users\Kerlos\Desktop\quiz\app\not-found.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\Kerlos\Desktop\quiz\app\page.jsx", "JavaScript JSX", 20, 0, 0, 0, 0, 0, 13, 33
"c:\Users\Kerlos\Desktop\quiz\app\payment\page.jsx", "JavaScript JSX", 160, 0, 0, 0, 0, 0, 36, 196
"c:\Users\Kerlos\Desktop\quiz\app\people\page.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Kerlos\Desktop\quiz\app\phys\[quizid]\page.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 7, 16
"c:\Users\Kerlos\Desktop\quiz\app\phys\page.jsx", "JavaScript JSX", 15, 0, 0, 0, 0, 0, 11, 26
"c:\Users\Kerlos\Desktop\quiz\app\proc\page.jsx", "JavaScript JSX", 148, 0, 0, 0, 0, 3, 40, 191
"c:\Users\Kerlos\Desktop\quiz\app\procar\page.jsx", "JavaScript JSX", 121, 0, 0, 0, 0, 0, 8, 129
"c:\Users\Kerlos\Desktop\quiz\app\profr\page.jsx", "JavaScript JSX", 146, 0, 0, 0, 0, 5, 20, 171
"c:\Users\Kerlos\Desktop\quiz\app\quiz\page.jsx", "JavaScript JSX", 8, 0, 0, 0, 0, 0, 5, 13
"c:\Users\Kerlos\Desktop\quiz\app\sign-in\[[...sign-in]]\page.jsx", "JavaScript JSX", 80, 0, 0, 0, 0, 0, 15, 95
"c:\Users\Kerlos\Desktop\quiz\app\sign-up\[[...sign-up]]\page.jsx", "JavaScript JSX", 82, 0, 0, 0, 0, 0, 20, 102
"c:\Users\Kerlos\Desktop\quiz\app\sitemap.xml", "XML", 0, 0, 0, 50, 0, 0, 1, 51
"c:\Users\Kerlos\Desktop\quiz\app\subscriptions\page.jsx", "JavaScript JSX", 10, 0, 0, 0, 0, 0, 6, 16
"c:\Users\Kerlos\Desktop\quiz\app\test\page.jsx", "JavaScript JSX", 193, 0, 0, 0, 0, 0, 24, 217
"Total", "-", 7245, 61, 13, 50, 443, 213, 1863, 9888
